Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Study_Efficiency,Internet_Usage_Hours,Gender_Male,Result,Result_Label,Grade_Label
2.5,99.4,29.0,46.7,40,0.88,6.4,1,0,Fail,D
1.6,95.1,37.8,83.5,75,0.62,1.5,0,1,Pass,B
6.7,95.8,47.5,63.1,60,0.65,5.4,1,1,Pass,C
9.7,80.7,49.5,44.4,40,0.78,2.5,0,0,Fail,D
8.3,73.8,49.5,88.8,90,0.52,6.2,1,1,Pass,A
3.7,95.7,39.4,74.8,75,0.64,2.4,0,1,Pass,B
1.9,80.7,49.5,54.1,40,0.73,6.8,1,0,Fail,D
6.7,82.5,49.5,93.7,90,0.88,5.6,1,1,Pass,A
5.0,64.0,49.5,42.7,40,0.93,2.1,1,0,Fail,D
2.1,96.9,49.5,86.9,75,0.72,5.3,0,1,Pass,B
5.5,65.6,43.1,85.1,75,0.57,7.2,1,1,Pass,B
1.3,69.0,34.3,82.6,75,0.8,4.9,0,1,Pass,B
6.7,82.3,43.8,57.4,60,0.71,7.6,0,1,Pass,C
3.3,90.6,28.8,43.7,40,0.66,2.9,1,0,Fail,D
7.0,84.8,49.9,91.5,90,0.94,5.8,1,1,Pass,A
3.8,69.3,32.2,58.8,60,0.82,2.1,0,1,Pass,C
5.7,60.0,32.9,51.7,40,0.83,7.5,0,0,Fail,D
5.9,90.3,42.1,71.0,75,0.61,5.7,0,1,Pass,B
2.7,99.4,43.7,94.6,90,0.53,6.5,1,1,Pass,A
9.7,80.7,49.5,42.6,40,0.92,7.0,0,0,Fail,D
8.0,78.4,49.6,85.9,90,0.55,7.6,0,1,Pass,A
9.5,96.2,50.9,74.3,75,0.93,3.7,0,1,Pass,B
9.1,80.7,45.5,65.5,60,0.6,5.8,0,1,Pass,C
6.4,81.0,46.3,84.6,75,0.54,2.2,1,1,Pass,B
6.7,79.1,55.9,97.9,90,0.76,6.9,0,1,Pass,A
1.8,77.9,27.5,86.9,40,0.63,5.6,1,0,Fail,D
2.8,91.0,29.3,48.6,40,0.81,6.4,0,0,Fail,D
1.4,81.1,39.3,94.8,90,0.88,6.8,1,1,Pass,A
3.9,80.7,41.9,80.1,75,0.83,3.8,1,1,Pass,B
4.5,70.3,35.9,66.3,60,0.56,5.6,0,1,Pass,C
3.4,61.5,35.3,74.4,75,0.66,4.3,0,1,Pass,B
8.5,83.3,50.7,84.7,75,0.7,5.9,0,1,Pass,B
4.2,69.2,41.2,86.4,75,0.84,4.3,0,1,Pass,B
3.5,65.9,49.5,95.2,90,0.57,6.2,1,1,Pass,A
5.9,86.2,40.1,65.6,60,0.93,3.8,1,1,Pass,C
2.3,87.2,30.6,57.6,60,0.69,6.9,0,1,Pass,C
6.3,90.1,48.9,78.4,75,0.71,5.1,0,1,Pass,B
1.7,80.1,30.9,86.9,60,0.93,4.4,1,1,Pass,C
6.7,95.8,52.1,75.7,75,0.74,3.8,1,1,Pass,B
8.0,97.5,45.3,65.2,60,0.85,6.1,0,1,Pass,C
2.8,92.3,29.6,49.2,40,0.75,7.3,1,0,Fail,D
1.0,85.4,31.0,68.2,60,0.8,5.6,0,1,Pass,C
8.3,72.1,49.5,86.9,75,0.84,4.6,1,1,Pass,B
7.4,99.3,49.5,88.0,90,0.64,4.3,1,1,Pass,A
7.6,80.7,43.2,69.6,60,0.68,1.9,0,1,Pass,C
7.9,68.1,37.6,49.9,40,0.57,4.2,0,0,Fail,D
1.7,77.7,30.6,64.9,60,0.61,5.6,0,1,Pass,C
6.7,80.7,40.8,86.9,90,0.62,5.6,1,1,Pass,A
2.0,99.1,33.3,64.8,60,0.58,4.7,1,1,Pass,C
8.8,83.5,50.5,81.8,75,0.98,1.9,0,1,Pass,B
6.6,82.3,42.6,70.4,75,0.72,5.1,0,1,Pass,B
4.0,80.7,33.0,54.5,40,0.72,5.6,1,0,Fail,D
1.6,80.7,37.5,86.9,90,0.84,5.9,1,1,Pass,A
3.8,61.3,27.3,86.9,40,0.9,4.6,1,0,Fail,D
3.9,84.5,37.7,71.5,75,0.6,5.4,0,1,Pass,B
7.6,88.6,39.8,52.5,40,0.84,7.4,0,0,Fail,D
6.7,76.7,34.3,86.9,40,0.79,7.4,0,0,Fail,D
9.0,90.3,48.1,86.9,75,0.7,1.9,0,1,Pass,B
5.2,69.1,38.3,70.0,75,0.52,5.3,0,1,Pass,B
6.3,80.7,35.8,82.4,75,0.93,3.9,0,1,Pass,B
6.7,66.5,46.9,84.7,75,0.98,5.6,0,1,Pass,B
7.8,80.7,49.5,83.7,75,0.8,7.8,0,1,Pass,B
6.1,93.9,41.0,64.6,60,0.85,7.6,1,1,Pass,C
7.9,80.7,48.5,86.9,75,0.74,4.7,0,1,Pass,B
5.4,75.3,49.5,74.6,75,0.64,7.4,1,1,Pass,B
6.7,83.6,39.4,65.3,60,0.93,2.5,0,1,Pass,C
4.8,88.8,41.2,75.8,75,0.95,7.4,0,1,Pass,B
1.2,69.6,38.4,96.8,90,0.75,5.9,0,1,Pass,A
6.7,66.7,26.2,51.6,40,0.96,3.8,0,0,Fail,D
6.7,98.9,40.8,94.3,90,0.96,6.3,0,1,Pass,A
6.7,84.7,34.8,43.2,40,0.64,1.9,1,0,Fail,D
3.8,99.3,35.1,58.5,60,0.93,1.9,0,1,Pass,C
5.6,73.5,49.5,57.3,60,0.61,6.8,1,1,Pass,C
9.2,80.7,50.5,77.6,75,0.89,3.0,0,1,Pass,B
3.2,68.9,49.5,47.9,40,0.65,4.5,1,0,Fail,D
4.7,70.4,44.3,92.9,90,0.76,1.4,0,1,Pass,A
7.8,80.5,50.6,89.7,75,0.92,7.0,1,1,Pass,B
6.7,72.8,37.2,79.1,75,0.64,4.6,0,1,Pass,B
6.7,80.7,49.5,67.5,60,0.78,5.6,0,1,Pass,C
3.6,70.5,43.0,96.0,90,0.94,3.3,0,1,Pass,A
6.7,61.4,38.1,89.8,90,0.5,3.8,0,1,Pass,A
9.4,88.2,48.6,70.0,75,0.83,5.2,0,1,Pass,B
8.3,79.7,49.2,82.1,75,0.79,1.7,0,1,Pass,B
6.7,63.8,42.0,74.0,75,0.74,4.9,1,1,Pass,B
8.8,66.9,46.9,75.3,75,0.83,5.6,0,1,Pass,B
6.7,64.1,40.8,59.9,60,0.63,4.8,0,1,Pass,C
2.7,84.5,34.2,67.7,60,0.83,3.5,0,1,Pass,C
9.0,63.8,37.8,44.7,40,0.75,4.2,1,0,Fail,D
5.9,90.2,39.2,61.4,60,0.93,4.6,1,1,Pass,C
8.3,60.8,47.2,81.7,75,0.77,5.6,0,1,Pass,B
9.1,70.0,49.5,97.2,90,0.55,3.3,0,1,Pass,A
3.9,95.6,46.7,97.8,90,0.6,6.1,0,1,Pass,A
2.0,88.7,34.9,73.3,75,0.98,5.5,1,1,Pass,B
3.1,62.9,35.4,76.4,75,0.93,4.1,0,1,Pass,B
4.8,80.7,34.2,51.1,40,0.67,5.6,0,0,Fail,D
8.4,79.7,49.5,86.9,75,0.53,7.6,0,1,Pass,B
6.7,93.9,40.0,44.2,40,0.93,1.7,1,0,Fail,D
1.1,80.7,27.7,57.1,60,0.79,5.6,0,1,Pass,C
5.6,80.7,44.0,80.1,75,0.61,1.1,0,1,Pass,B
4.8,80.7,37.2,58.6,60,0.57,5.9,0,1,Pass,C
3.0,69.3,25.8,43.0,40,0.51,3.3,0,0,Fail,D
2.1,85.0,39.7,89.9,90,0.97,3.4,0,1,Pass,A
4.0,78.4,33.4,58.6,60,0.93,6.0,0,1,Pass,C
9.5,61.6,38.3,43.8,40,0.72,5.4,1,0,Fail,D
3.9,60.6,49.5,44.5,40,0.63,3.9,0,0,Fail,D
5.7,64.8,34.4,55.1,60,0.87,5.6,0,1,Pass,C
7.3,86.0,38.4,50.7,40,0.91,5.1,0,0,Fail,D
4.3,82.7,42.8,86.9,90,1.0,5.8,0,1,Pass,A
9.7,82.1,45.4,59.3,60,0.79,5.6,0,1,Pass,C
6.7,61.3,52.0,88.3,90,0.93,5.3,0,1,Pass,A
3.3,78.8,49.5,50.4,40,0.82,5.6,0,0,Fail,D
5.5,97.0,41.6,69.6,60,0.99,4.3,1,1,Pass,C
3.7,75.9,39.4,81.3,75,0.96,3.1,0,1,Pass,B
6.7,85.0,39.4,76.4,75,0.59,8.0,1,1,Pass,B
6.7,91.2,34.6,76.1,75,0.64,4.6,1,1,Pass,B
6.5,91.4,50.8,95.5,90,0.56,4.9,1,1,Pass,A
5.5,80.8,35.2,53.7,40,0.93,2.4,1,0,Fail,D
6.7,94.3,33.3,86.9,60,0.85,4.4,1,1,Pass,C
3.5,75.7,42.5,93.0,90,0.99,5.3,1,1,Pass,A
9.2,95.5,41.4,44.7,40,0.72,5.0,1,0,Fail,D
3.2,69.6,26.4,43.4,40,0.93,3.3,1,0,Fail,D
2.3,71.2,27.9,54.0,40,0.77,3.9,0,0,Fail,D
5.4,62.1,41.9,78.0,75,0.93,6.5,0,1,Pass,B
9.9,91.8,45.7,55.6,60,0.64,5.6,1,1,Pass,C
3.2,76.7,29.5,51.4,40,0.93,7.2,1,0,Fail,D
6.3,69.2,49.5,67.5,60,0.93,7.3,0,1,Pass,C
7.9,80.7,49.5,76.8,75,0.55,1.3,0,1,Pass,B
3.1,96.1,32.3,54.9,40,1.0,4.7,1,0,Fail,D
6.7,93.4,41.9,86.9,40,0.92,6.1,1,0,Fail,D
6.7,82.1,39.8,76.8,75,0.85,6.6,0,1,Pass,B
6.7,84.6,50.9,96.7,90,0.75,5.6,0,1,Pass,A
6.7,79.0,45.4,80.5,75,0.54,1.4,1,1,Pass,B
5.8,75.7,49.5,87.0,90,0.74,7.6,1,1,Pass,A
1.8,96.6,31.9,62.0,60,0.51,6.2,1,1,Pass,C
8.5,65.0,40.4,56.3,60,0.53,2.2,0,1,Pass,C
3.9,76.7,35.7,86.9,75,0.51,5.5,0,1,Pass,B
2.7,73.8,39.3,88.4,90,0.74,7.3,1,1,Pass,A
1.4,79.9,31.0,67.4,60,0.96,6.8,0,1,Pass,C
6.3,78.3,47.7,90.8,90,0.63,5.6,0,1,Pass,A
7.1,80.8,52.1,99.3,90,0.62,6.6,0,1,Pass,A
1.1,65.6,22.0,44.3,40,0.79,6.9,0,0,Fail,D
5.6,80.5,32.1,42.7,40,0.55,1.1,0,0,Fail,D
3.0,69.7,27.7,49.0,40,0.68,5.5,1,0,Fail,D
6.8,80.7,39.3,63.1,60,0.57,1.4,0,1,Pass,C
2.6,62.6,25.8,47.9,40,0.81,5.6,0,0,Fail,D
7.2,80.7,51.1,92.2,90,0.85,1.2,1,1,Pass,A
4.5,77.1,29.1,41.4,40,0.93,3.0,0,0,Fail,D
9.4,80.7,45.0,58.9,40,0.8,4.6,1,0,Fail,D
2.2,89.1,28.6,51.1,40,0.81,4.6,0,0,Fail,D
4.1,87.2,49.5,95.9,90,0.67,5.6,0,1,Pass,A
2.0,78.8,35.9,80.2,75,0.91,3.2,1,1,Pass,B
6.7,75.5,54.6,94.7,90,0.93,4.1,1,1,Pass,A
8.9,75.0,54.8,98.3,90,0.51,2.0,0,1,Pass,A
3.3,85.6,36.1,69.8,60,0.94,3.2,1,1,Pass,C
6.9,79.8,38.0,54.1,40,0.67,4.6,1,0,Fail,D
6.7,94.0,41.7,51.6,40,0.61,4.6,0,0,Fail,D
6.7,95.0,37.5,53.4,40,0.66,5.8,0,0,Fail,D
5.8,66.8,43.0,82.5,75,0.65,5.5,0,1,Pass,B
3.2,65.4,25.7,86.9,40,0.72,5.6,1,0,Fail,D
1.8,85.2,49.5,43.1,40,0.75,2.8,0,0,Fail,D
9.1,72.0,48.4,76.5,75,0.79,1.1,1,1,Pass,B
9.1,60.7,47.8,78.5,75,0.99,4.5,0,1,Pass,B
6.7,95.5,46.9,79.9,75,0.8,1.1,1,1,Pass,B
6.7,80.7,49.5,62.3,60,0.93,1.3,1,1,Pass,C
6.7,80.7,49.5,76.4,40,0.93,7.5,0,0,Fail,D
6.7,88.7,45.5,72.0,75,0.93,5.6,0,1,Pass,B
9.1,90.5,41.1,46.3,40,0.9,2.8,0,0,Fail,D
9.0,68.1,51.2,87.8,90,0.74,5.6,0,1,Pass,A
8.0,69.4,52.1,97.2,90,0.76,4.7,0,1,Pass,A
6.7,80.9,49.5,43.6,40,0.93,5.6,0,0,Fail,D
1.8,66.9,29.3,63.5,60,0.74,3.4,0,1,Pass,C
6.7,72.2,33.0,69.3,60,0.75,2.9,1,1,Pass,C
9.1,72.9,40.1,86.9,40,0.67,7.1,0,0,Fail,D
6.5,66.4,47.3,92.1,90,0.94,3.3,0,1,Pass,A
1.1,68.2,26.1,57.0,60,0.7,5.6,0,1,Pass,C
1.9,91.5,39.0,86.9,90,0.71,6.0,1,1,Pass,A
7.0,66.7,44.8,80.3,75,0.82,5.4,0,1,Pass,B
1.0,61.1,30.9,75.9,75,0.79,5.5,0,1,Pass,B
2.4,85.2,28.8,51.5,40,0.84,3.8,1,0,Fail,D
5.9,99.0,37.7,53.2,40,0.82,5.6,0,0,Fail,D
7.2,73.2,49.5,42.8,40,0.67,2.9,0,0,Fail,D
6.7,64.7,49.5,86.9,40,0.81,1.3,1,0,Fail,D
3.0,82.8,32.5,60.7,60,0.88,2.1,1,1,Pass,C
6.7,80.7,51.4,90.0,90,0.8,7.5,0,1,Pass,A
3.1,80.7,49.5,62.0,60,0.64,5.6,0,1,Pass,C
3.9,84.9,41.9,85.3,90,0.87,4.5,0,1,Pass,A
7.7,72.6,42.6,66.4,60,0.85,2.3,1,1,Pass,C
6.7,81.7,47.9,87.1,75,0.84,1.6,0,1,Pass,B
8.6,63.6,53.1,86.9,90,0.99,7.6,1,1,Pass,A
6.9,80.7,49.5,54.4,40,0.86,2.9,0,0,Fail,D
6.1,80.7,48.6,91.7,90,0.68,7.3,1,1,Pass,A
1.8,98.6,36.6,86.9,75,0.68,6.9,1,1,Pass,B
4.3,80.7,42.3,89.0,75,0.56,1.7,0,1,Pass,B
3.4,60.7,36.6,79.1,75,0.98,5.4,1,1,Pass,B
6.7,81.8,34.2,65.4,60,0.96,5.6,0,1,Pass,C
6.7,88.3,44.5,53.7,40,0.57,6.5,1,0,Fail,D
4.5,91.6,49.5,44.2,40,0.93,2.1,0,0,Fail,D
9.0,67.7,46.4,72.1,75,0.7,1.5,1,1,Pass,B
6.7,70.5,49.5,99.4,90,0.93,5.6,0,1,Pass,A
6.7,80.5,49.7,86.9,75,0.75,5.8,0,1,Pass,B
5.5,73.2,36.2,59.6,60,0.95,1.4,0,1,Pass,C
6.2,94.4,48.7,86.9,90,0.93,7.0,1,1,Pass,A
5.4,80.7,44.5,86.1,90,0.54,7.0,0,1,Pass,A
2.8,92.0,31.9,56.9,60,0.81,5.6,0,1,Pass,C
7.5,83.2,35.6,40.9,40,0.52,1.0,0,0,Fail,D
3.5,90.9,49.5,86.9,40,0.58,1.8,0,0,Fail,D
1.2,73.3,37.5,92.6,90,0.93,2.0,1,1,Pass,A
6.8,93.3,49.5,90.2,90,0.7,7.4,1,1,Pass,A
2.6,71.0,29.6,57.7,60,0.7,5.1,1,1,Pass,C
9.5,81.8,44.3,86.9,75,0.81,2.6,1,1,Pass,B
6.7,68.6,52.3,87.6,90,0.75,2.0,0,1,Pass,A
9.2,79.0,55.2,96.3,90,0.53,1.3,1,1,Pass,A
4.3,72.7,41.9,86.9,90,0.85,5.6,1,1,Pass,A
1.1,70.7,32.2,76.3,75,0.96,3.3,0,1,Pass,B
6.7,98.7,45.0,54.6,40,0.68,7.8,0,0,Fail,D
4.9,66.4,49.5,71.5,75,0.93,5.6,0,1,Pass,B
6.7,91.5,49.5,54.0,40,0.77,1.3,0,0,Fail,D
9.7,99.4,49.5,86.9,90,0.87,4.4,0,1,Pass,A
8.7,60.8,41.9,63.2,60,0.77,6.1,0,1,Pass,C
3.7,88.0,49.5,90.0,90,0.63,2.3,0,1,Pass,A
4.5,70.1,49.5,62.9,60,0.93,2.5,0,1,Pass,C
8.7,61.6,50.4,86.9,90,0.62,5.6,0,1,Pass,A
3.9,76.1,41.9,86.9,60,0.96,6.5,0,1,Pass,C
2.5,97.4,49.5,66.4,60,0.59,7.0,0,1,Pass,C
6.0,60.5,41.1,86.9,75,0.87,5.6,0,1,Pass,B
9.4,83.5,40.4,44.2,40,0.75,4.0,1,0,Fail,D
7.3,80.7,51.7,96.9,90,0.93,7.5,1,1,Pass,A
6.1,94.9,44.0,74.4,60,0.52,7.2,1,1,Pass,C
6.7,63.4,31.3,76.4,75,0.93,5.6,0,1,Pass,B
6.5,87.3,48.9,76.4,90,0.6,4.4,1,1,Pass,A
9.9,87.2,49.5,86.9,90,0.92,5.6,1,1,Pass,A
6.7,86.8,34.7,71.3,75,0.93,1.3,0,1,Pass,B
5.7,97.7,49.8,95.6,90,0.93,6.9,0,1,Pass,A
8.9,92.9,40.3,43.9,40,0.74,4.6,1,0,Fail,D
6.7,61.7,35.6,46.8,40,0.5,2.5,0,0,Fail,D
7.3,78.8,45.2,86.9,75,0.79,2.6,1,1,Pass,B
7.3,75.9,40.6,76.4,60,0.66,1.7,1,1,Pass,C
4.2,72.4,36.0,67.9,60,0.63,6.1,1,1,Pass,C
6.7,78.1,32.9,59.7,60,0.69,5.6,0,1,Pass,C
8.3,75.4,43.4,64.3,60,0.6,5.6,0,1,Pass,C
8.3,77.3,51.2,89.4,90,0.78,2.4,0,1,Pass,A
8.8,99.2,50.2,75.6,75,0.83,7.1,1,1,Pass,B
6.7,80.7,54.7,99.8,90,0.93,1.3,1,1,Pass,A
5.6,96.9,47.0,87.2,90,0.88,7.7,0,1,Pass,A
6.7,79.2,35.8,86.9,60,0.78,5.6,0,1,Pass,C
8.2,84.9,41.7,55.9,60,0.8,7.6,0,1,Pass,C
6.8,93.2,41.0,60.2,60,0.71,4.3,0,1,Pass,C
7.3,74.4,49.2,90.6,90,0.64,6.5,0,1,Pass,A
8.2,77.2,36.6,41.6,40,0.67,3.4,1,0,Fail,D
9.0,76.4,41.8,53.8,40,0.8,4.9,0,0,Fail,D
4.0,75.0,43.8,94.3,90,0.72,7.3,0,1,Pass,A
4.4,97.0,49.5,86.9,75,0.94,6.1,1,1,Pass,B
1.8,93.2,29.0,53.6,40,0.88,7.8,0,0,Fail,D
6.2,64.4,34.8,86.9,40,0.55,2.3,1,0,Fail,D
1.3,64.3,36.6,91.8,90,0.68,1.6,1,1,Pass,A
5.2,77.1,46.2,93.6,90,0.55,1.4,1,1,Pass,A
5.9,63.9,34.8,55.4,60,0.99,5.4,1,1,Pass,C
3.6,84.8,49.5,65.2,60,0.8,1.3,1,1,Pass,C
6.3,65.7,46.2,90.1,90,0.93,3.3,1,1,Pass,A
1.3,80.9,36.6,86.3,90,0.57,1.7,0,1,Pass,A
6.7,60.3,35.3,88.8,90,0.8,4.5,1,1,Pass,A
8.4,72.7,45.4,71.1,75,0.75,2.1,1,1,Pass,B
4.2,87.1,49.5,94.7,90,0.86,5.1,0,1,Pass,A
2.1,80.7,30.0,86.9,60,0.8,1.4,1,1,Pass,C
6.7,99.1,49.5,86.9,75,0.88,4.5,1,1,Pass,B
7.9,95.0,50.0,82.5,75,0.71,4.8,1,1,Pass,B
2.9,74.4,35.0,72.4,75,0.55,5.6,0,1,Pass,B
6.6,61.8,49.5,91.3,90,0.73,2.1,0,1,Pass,A
1.8,93.8,26.4,44.9,40,0.73,4.4,0,0,Fail,D
6.7,96.4,39.8,86.9,90,0.83,5.6,1,1,Pass,A
5.8,92.8,38.2,57.6,60,0.87,3.7,0,1,Pass,C
5.9,65.1,42.1,79.3,75,0.85,6.3,0,1,Pass,B
6.7,99.9,36.1,42.4,40,0.59,3.0,0,0,Fail,D
7.5,70.3,45.0,76.6,75,0.6,6.2,0,1,Pass,B
9.8,89.0,53.4,83.0,75,0.9,5.6,0,1,Pass,B
6.7,96.3,39.5,62.1,60,0.87,1.2,1,1,Pass,C
3.9,69.4,41.9,52.9,40,0.95,5.6,1,0,Fail,D
8.2,80.7,47.7,72.3,75,0.93,2.2,1,1,Pass,B
3.4,72.4,41.0,90.0,90,0.92,3.3,0,1,Pass,A
5.0,99.1,37.7,86.9,60,0.93,2.2,1,1,Pass,C
1.7,71.3,27.1,55.1,60,0.53,5.3,1,1,Pass,C
1.2,80.7,29.2,56.7,60,0.8,4.3,1,1,Pass,C
9.7,62.1,54.7,76.4,90,0.69,5.1,1,1,Pass,A
8.5,88.4,44.3,61.6,60,0.99,4.5,1,1,Pass,C
7.3,80.7,34.8,86.9,40,0.66,7.5,0,0,Fail,D
6.7,79.1,43.4,86.9,90,0.93,3.9,0,1,Pass,A
2.6,68.9,36.7,82.0,75,0.67,2.3,1,1,Pass,B
2.4,88.2,27.9,47.7,40,0.71,5.3,0,0,Fail,D
3.3,67.6,49.5,99.1,90,0.88,6.2,0,1,Pass,A
5.9,82.1,43.0,86.9,75,0.57,2.9,1,1,Pass,B
7.4,70.1,42.8,70.0,60,0.8,5.6,0,1,Pass,C
6.9,98.2,42.5,62.9,60,1.0,7.4,0,1,Pass,C
3.5,61.1,41.3,93.9,90,0.51,6.5,0,1,Pass,A
9.6,68.0,42.4,54.6,40,0.56,7.1,1,0,Fail,D
7.6,80.7,39.3,57.1,40,0.93,5.2,0,0,Fail,D
6.0,76.6,49.5,86.9,40,0.7,2.3,0,0,Fail,D
6.5,69.3,45.6,85.5,90,0.82,4.7,0,1,Pass,A
4.8,80.7,40.3,75.7,75,0.71,7.0,0,1,Pass,B
3.2,94.9,38.8,76.5,75,0.63,3.0,0,1,Pass,B
4.2,80.7,33.2,53.1,40,0.72,2.5,1,0,Fail,D
7.8,83.2,47.6,86.9,75,0.9,1.3,0,1,Pass,B
1.1,63.6,34.3,85.9,90,0.73,5.6,0,1,Pass,A
2.0,87.8,31.2,86.9,60,0.53,3.0,0,1,Pass,C
6.7,66.7,35.9,88.1,90,0.68,3.6,0,1,Pass,A
1.4,91.5,41.9,60.9,60,0.95,4.7,0,1,Pass,C
6.7,80.7,50.0,85.5,90,0.56,5.6,1,1,Pass,A
7.3,76.7,34.9,86.9,75,0.93,1.8,0,1,Pass,B
5.3,74.0,39.9,73.1,75,0.86,4.1,1,1,Pass,B
1.9,94.4,49.5,98.2,90,0.93,5.1,1,1,Pass,A
6.7,65.1,49.5,98.9,90,0.92,7.6,1,1,Pass,A
5.3,80.7,35.9,56.9,60,0.89,4.6,0,1,Pass,C
2.6,80.7,49.5,86.9,60,0.51,7.9,0,1,Pass,C
6.7,88.2,31.8,43.8,40,0.52,3.6,0,0,Fail,D
4.6,96.2,46.5,92.4,90,0.71,7.0,0,1,Pass,A
6.5,77.4,43.0,74.1,75,0.9,5.4,0,1,Pass,B
6.7,79.5,40.3,63.1,60,0.95,3.6,1,1,Pass,C
1.4,97.1,26.6,46.8,40,0.95,3.5,0,0,Fail,D
4.4,80.8,45.9,96.8,90,0.97,4.0,0,1,Pass,A
6.6,79.5,42.7,71.8,75,0.99,5.6,0,1,Pass,B
5.5,83.1,36.4,57.0,60,0.97,2.1,1,1,Pass,C
8.7,87.6,44.5,61.0,60,0.93,5.6,0,1,Pass,C
6.9,80.7,49.5,76.4,60,0.55,5.3,0,1,Pass,C
6.7,92.8,37.1,76.1,75,0.83,2.3,0,1,Pass,B
1.6,77.4,39.7,95.8,90,0.89,5.3,1,1,Pass,A
6.8,62.9,49.5,91.4,90,0.98,3.2,0,1,Pass,A
1.2,91.4,31.8,67.6,60,0.93,1.9,0,1,Pass,C
6.3,80.7,47.0,89.6,90,0.96,3.1,0,1,Pass,A
9.5,64.0,45.0,65.4,60,0.65,2.2,1,1,Pass,C
6.2,80.7,37.5,55.1,60,0.84,6.9,0,1,Pass,C
4.5,95.2,48.2,99.0,90,0.71,3.8,0,1,Pass,A
6.8,95.5,40.6,58.2,40,0.82,5.2,0,0,Fail,D
6.7,98.3,49.5,59.4,60,0.77,4.0,1,1,Pass,C
5.9,94.7,51.1,99.4,90,0.81,7.9,1,1,Pass,A
9.5,60.1,39.4,48.0,40,0.51,4.7,1,0,Fail,D
4.5,75.2,42.2,85.6,90,0.99,1.0,1,1,Pass,A
9.7,92.7,49.5,96.1,90,0.6,5.6,0,1,Pass,A
6.7,80.7,46.9,70.7,60,0.59,6.6,0,1,Pass,C
2.8,84.1,26.1,40.2,40,0.77,2.2,1,0,Fail,D
1.6,84.3,30.4,62.5,60,0.71,6.5,0,1,Pass,C
1.9,74.6,41.9,86.9,40,0.62,5.5,0,0,Fail,D
1.2,96.2,31.5,65.0,60,0.53,5.0,0,1,Pass,C
1.8,80.1,37.8,86.9,90,0.57,5.2,1,1,Pass,A
6.7,78.6,41.9,66.3,60,0.6,5.6,1,1,Pass,C
6.7,99.9,33.0,86.9,60,0.64,5.6,0,1,Pass,C
6.3,79.7,49.5,73.4,75,0.93,4.3,0,1,Pass,B
8.6,67.1,46.4,74.9,60,0.93,3.8,0,1,Pass,C
1.2,80.5,37.9,86.9,90,0.54,6.0,0,1,Pass,A
8.3,92.6,49.5,58.5,60,0.92,4.2,0,1,Pass,C
3.5,91.1,42.9,89.3,90,0.94,4.7,1,1,Pass,A
2.1,91.5,35.6,74.0,75,0.89,5.6,1,1,Pass,B
7.3,88.3,40.8,58.0,60,0.87,2.4,1,1,Pass,C
6.7,70.2,37.7,57.7,60,0.93,2.0,0,1,Pass,C
